site_name,site_id,cammlr_region,longitude_epsg_4326,latitude_epsg_4326,common_name,day,month,year,season_starting,penguin_count,accuracy,count_type,vantage,reference
Crown Head,CROW,48.2,-45.315999999999995,-60.622999999998854,chinstrap penguin,31,12,1983,1983,2000,5,nests,ground,<strong>Poncet  S. and J. Poncet  </strong><i> 1985</i>. A survey of penguin breeding populations at the South Orkey Islands. British Antarctic Survey Bulletin 68:71-81.
Cornwallis Island,CRWL,48.1,-54.46409999999998,-61.072399999999,chinstrap penguin,12,2,1977,1976,2200,4,nests,ground,<strong>Croxall  J. P. and E. D. Kirkwood  </strong><i> 1979</i>. The distribution of penguins on the Antarctic Penninulsa and islands of the Scotia Sea. British Antarctic Survey  Cambridge  United Kingdom.
Cuverville Island,CUVE,48.1,-62.625999999999976,-64.68399999999964,chinstrap penguin,15,12,2015,2015,0,1,nests,ground,<strong>Lynch  H. J.  </strong><i> ????a</i>. Antarctic Site Inventory. dataset.
Cape Vik,CVIK,48.2,-45.66299999999998,-60.65499999999887,chinstrap penguin,,1,1965,1964,8000,4,nests,ground,<strong>Croxall  J. P. and E. D. Kirkwood  </strong><i> 1979</i>. The distribution of penguins on the Antarctic Penninulsa and islands of the Scotia Sea. British Antarctic Survey  Cambridge  United Kingdom.
Davey Point,DAVE,48.1,-58.53019999999999,-61.96889999999921,chinstrap penguin,29,1,1987,1986,25000,4,adults,ground,<strong>Shuford  W. D. and B. Spear  </strong><i> 1988</i>. Surveys of breeding Chinstrap penguins in the South Shetland Island  Antarctica. British Antarctic Survey Bulletin 81:19-30.
Decimal Point,DECI,48.1,-54.70199999999999,-61.09699999999899,chinstrap penguin,18,1,1971,1970,200,4,nests,ground,<strong>Croxall  J. P. and E. D. Kirkwood  </strong><i> 1979</i>. The distribution of penguins on the Antarctic Penninulsa and islands of the Scotia Sea. British Antarctic Survey  Cambridge  United Kingdom.
Dee Island,DEEI,48.1,-59.78359999999998,-62.4228999999993,chinstrap penguin,7,12,2010,2010,0,1,nests,ground,<strong>Lynch  H. J.  R. Naveen  and P. Casanovas  </strong><i> 2013</i>. Antarctic Site Inventory breeding bird survey data  1994-2013: Ecological Archives E094-243. Ecology 94:2653-2653.
Delaite Island,DELA,48.1,-62.18809999999999,-64.56429999999963,chinstrap penguin,9,12,2016,2016,108,1,nests,ground,<strong>Lynch  H. J.  </strong><i> ????a</i>. Antarctic Site Inventory. dataset.
Demay Point,DEMA,48.1,-58.41909999999997,-62.21369999999927,chinstrap penguin,,,1996,1996,217,2,nests,ground,<strong>Myrcha  A.  </strong><i> 1993</i>. Birds. In S. Rakusa-Suszczewski  editor  The maritime Antarctic coastal ecosystem of Admiralty Bay  pages 129-141. Department of Antarctic Biology  Polish Academy of Sciences  Warsaw  Poland.
Devils Point,DEPT,48.1,-61.18289999999999,-62.671399999999345,chinstrap penguin,4,2,1987,1986,5500,4,adults,ground,<strong>Shuford  W. D. and B. Spear  </strong><i> 1988</i>. Surveys of breeding Chinstrap penguins in the South Shetland Island  Antarctica. British Antarctic Survey Bulletin 81:19-30.
Desolation Island,DESO,48.1,-60.34679999999999,-62.45779999999931,chinstrap penguin,2,2,1987,1986,18000,4,adults,ground,<strong>Shuford  W. D. and B. Spear  </strong><i> 1988</i>. Surveys of breeding Chinstrap penguins in the South Shetland Island  Antarctica. British Antarctic Survey Bulletin 81:19-30.
Dream Island,DREA,48.1,-64.22559999999999,-64.72539999999964,chinstrap penguin,29,12,1985,1985,136,1,nests,ground,<strong>Poncet  S. and J. Poncet  </strong><i> 1987</i>. Censuses of penguin populations of the Antarctic Peninsula 1983-1987. British Antarctic Survey Bulletin 77:109- 129.
Dream Island West (Casey Islands),DREW,48.1,-64.25395499999999,-64.72952799999965,chinstrap penguin,8,2,1987,1986,68,1,chicks,ground,<strong>Poncet  S. and J. Poncet  </strong><i> 1987</i>. Censuses of penguin populations of the Antarctic Peninsula 1983-1987. British Antarctic Survey Bulletin 77:109- 129.
Duthiers Point,DUPT,48.1,-62.81789999999999,-64.80489999999965,chinstrap penguin,23,12,2013,2013,22,1,nests,ground,<strong>Lynch  H. J.  </strong><i> ????a</i>. Antarctic Site Inventory. dataset.
Duroch Islands,DURO,48.1,-57.89029999999999,-63.30329999999945,chinstrap penguin,,,1990,1990,9400,4,nests,,<strong>Woehler  E. J.  </strong><i> 1993</i>. The distribution and abundance of Antarctic and Subantarctic penguins. Scientific Committee on Antarctic Research (SCAR)  Cambridge  United Kingdom.
Eadie Island,EADI,48.1,-55.92899999999998,-61.48199999999908,chinstrap penguin,1,1,1978,1977,5150,4,nests,ground,<strong>Croxall  J. P. and E. D. Kirkwood  </strong><i> 1979</i>. The distribution of penguins on the Antarctic Penninulsa and islands of the Scotia Sea. British Antarctic Survey  Cambridge  United Kingdom.
East Cape,ECAP,48.2,-45.20099999999999,-60.63299999999885,chinstrap penguin,31,12,1983,1983,1800,4,nests,ground,<strong>Poncet  S. and J. Poncet  </strong><i> 1985</i>. A survey of penguin breeding populations at the South Orkey Islands. British Antarctic Survey Bulletin 68:71-81.
